Page_Number,Layout_Type,Page_Side,Section,Item_Name,Text_Description,Image_Prompt
2,Left Page (Even),Left,Front Matter,見返し (Endpaper),シンプルなデザイン、シリーズロゴなど,"A minimalist, clean design with an elegant abstract Japanese traditional pattern, for a book endpaper. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
3,Right Page (Odd),Right,Front Matter,扉絵 (Title Page),"タイトル：「静寂の草花：日本のミニマル植物塗り絵」
著者名：Hiroyoshi Matsui","A highly minimalist, elegant page design, featuring abstract subtle wave patterns and a single delicate bamboo leaf motif, for a title page. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
4,Left Page (Even),Left,Front Matter,はじめに (Text),本書のコンセプト（侘び寂び、幽玄、余白の美）、塗り絵の楽しみ方,N/A (Text Page)
5,Right Page (Odd),Right,Front Matter,はじめに (Illustration/Background),（はじめにの続き / 飾り背景）,"An extremely minimalist, abstract background design with subtle ink wash patterns, creating a sense of tranquility and space, for introductory pages. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
6,Left Page (Even),Left,Front Matter,目次 (Table of Contents Text),掲載されている植物の一覧（季節ごとに分類）,N/A (Text Page)
7,Right Page (Odd),Right,Front Matter,目次 (Illustration/Background),（目次の飾り背景）,"An extremely minimalist, abstract background design with subtle ink brush strokes, evoking a sense of calm, for table of contents. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, highly detailed, monochrome, black ink, clean white background."
8,Left Page (Even),Left,Coloring Tips,色彩のインスピレーション (Tips Text),「日本の伝統色パレット」（藍色、萌葱色、緋色、鶯色など）、色の重ね方、画材紹介,N/A (Text & Color Guide Page)
9,Right Page (Odd),Right,Coloring Tips,色彩のインスピレーション (Palette Background),伝統色のグラデーションやインスピレーション用背景,"A subtle and abstract background design with soft, flowing gradients of traditional Japanese colors (ai-iro, moegi-iro, hi-iro, uguisu-iro), no distinct lines or objects. extensive negative space, 65% or more whitespace, minimalist art, zen art, clean white background."
10,Left Page (Even) - Chapter Intro,Left,春の章 (Spring Chapter),春の章 (Spring Chapter) 導入 (Text),春の訪れを告げる言葉と、章のタイトル,N/A (Chapter Intro Text Page)
11,Right Page (Odd) - Chapter Intro Illustration,Right,春の章 (Spring Chapter),春の章 (Spring Chapter) 導入 (Illustration),章の導入イラスト,"A gentle and serene minimalist landscape, evocative of spring mist and tranquility, without specific objects. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
12,Left Page (Even) - Coloring Description,Left,春の章 (Spring Chapter),塗り絵：梅（春告草） (Text),左ページ植物名・解説: 梅（春告草） / 雪解けの枝に咲く一輪の梅,N/A (Plant Description Text Page)
13,Right Page (Odd) - Coloring Illustration,Right,春の章 (Spring Chapter),塗り絵：梅（春告草） (Illustration),右ページ塗り絵イラスト: 雪解けの枝に咲く一輪の梅,"A single delicate plum blossom blooming on a snow-kissed branch, minimalist composition. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
14,Left Page (Even) - Coloring Description,Left,春の章 (Spring Chapter),塗り絵：椿（冬を越え、春を待つ） (Text),左ページ植物名・解説: 椿（冬を越え、春を待つ） / 静かに咲き誇る、大ぶりの椿一輪,N/A (Plant Description Text Page)
15,Right Page (Odd) - Coloring Illustration,Right,春の章 (Spring Chapter),塗り絵：椿（冬を越え、春を待つ） (Illustration),右ページ塗り絵イラスト: 静かに咲き誇る、大ぶりの椿一輪,"A single large Japanese camellia flower, depicted in full bloom, serene and elegant composition. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
16,Left Page (Even) - Coloring Description,Left,春の章 (Spring Chapter),塗り絵：桜（散り際の美学） (Text),左ページ植物名・解説: 桜（散り際の美学） / 幹から伸びた一枝に数輪の桜、または舞い散る花びら,N/A (Plant Description Text Page)
17,Right Page (Odd) - Coloring Illustration,Right,春の章 (Spring Chapter),塗り絵：桜（散り際の美学） (Illustration),右ページ塗り絵イラスト: 幹から伸びた一枝に数輪の桜、または舞い散る花びら,"A single branch extending from a tree trunk, with several cherry blossoms and a few scattered petals. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
18,Left Page (Even) - Coloring Description,Left,春の章 (Spring Chapter),塗り絵：藤（優雅に揺れる） (Text),左ページ植物名・解説: 藤（優雅に揺れる） / 垂れ下がる藤の花房（背景なし）,N/A (Plant Description Text Page)
19,Right Page (Odd) - Coloring Illustration,Right,春の章 (Spring Chapter),塗り絵：藤（優雅に揺れる） (Illustration),右ページ塗り絵イラスト: 垂れ下がる藤の花房（背景なし）,"Long, gracefully hanging wisteria flower clusters, without background. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
20,Left Page (Even) - Coloring Description,Left,春の章 (Spring Chapter),塗り絵：菖蒲（水辺の立ち姿） (Text),左ページ植物名・解説: 菖蒲（水辺の立ち姿） / 水面に映る、凛とした菖蒲の花,N/A (Plant Description Text Page)
21,Right Page (Odd) - Coloring Illustration,Right,春の章 (Spring Chapter),塗り絵：菖蒲（水辺の立ち姿） (Illustration),右ページ塗り絵イラスト: 水面に映る、凛とした菖蒲の花,"A stately iris flower standing by the water's edge, with its reflection gently appearing on the water surface. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
22,Left Page (Even) - Chapter Intro,Left,夏の章 (Summer Chapter),夏の章 (Summer Chapter) 導入 (Text),夏の息吹を感じる言葉と、章のタイトル,N/A (Chapter Intro Text Page)
23,Right Page (Odd) - Chapter Intro Illustration,Right,夏の章 (Summer Chapter),夏の章 (Summer Chapter) 導入 (Illustration),章の導入イラスト,"Cool and refreshing ripples on a water surface, suggestive of wind and tranquility, minimalist art. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
24,Left Page (Even) - Coloring Description,Left,夏の章 (Summer Chapter),塗り絵：朝顔（夏の朝を彩る） (Text),左ページ植物名・解説: 朝顔（夏の朝を彩る） / 竹垣に絡まる蔓と、一輪の朝顔,N/A (Plant Description Text Page)
25,Right Page (Odd) - Coloring Illustration,Right,夏の章 (Summer Chapter),塗り絵：朝顔（夏の朝を彩る） (Illustration),右ページ塗り絵イラスト: 竹垣に絡まる蔓と、一輪の朝顔,"A morning glory vine delicately clinging to a bamboo fence, with a single morning glory flower in bloom. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
26,Left Page (Even) - Coloring Description,Left,夏の章 (Summer Chapter),塗り絵：蓮（泥中より咲く） (Text),左ページ植物名・解説: 蓮（泥中より咲く） / 水面に浮かぶ大きな葉と、開きかけた蓮の花,N/A (Plant Description Text Page)
27,Right Page (Odd) - Coloring Illustration,Right,夏の章 (Summer Chapter),塗り絵：蓮（泥中より咲く） (Illustration),右ページ塗り絵イラスト: 水面に浮かぶ大きな葉と、開きかけた蓮の花,"A large lotus leaf floating on water, with a partially opened lotus flower emerging. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
28,Left Page (Even) - Coloring Description,Left,夏の章 (Summer Chapter),塗り絵：紫陽花（雨露に濡れて） (Text),左ページ植物名・解説: 紫陽花（雨露に濡れて） / しっとりと咲く紫陽花の一房,N/A (Plant Description Text Page)
29,Right Page (Odd) - Coloring Illustration,Right,夏の章 (Summer Chapter),塗り絵：紫陽花（雨露に濡れて） (Illustration),右ページ塗り絵イラスト: しっとりと咲く紫陽花の一房,"A single cluster of hydrangea flowers, depicted as if wet with dew or rain. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
30,Left Page (Even) - Coloring Description,Left,夏の章 (Summer Chapter),塗り絵：桔梗（秋を告げる星） (Text),左ページ植物名・解説: 桔梗（秋を告げる星） / 風に揺れる、繊細な桔梗の花,N/A (Plant Description Text Page)
31,Right Page (Odd) - Coloring Illustration,Right,夏の章 (Summer Chapter),塗り絵：桔梗（秋を告げる星） (Illustration),右ページ塗り絵イラスト: 風に揺れる、繊細な桔梗の花,"A delicate bellflower (kikyo) swaying gently in the breeze. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
32,Left Page (Even) - Coloring Description,Left,夏の章 (Summer Chapter),塗り絵：百合（凛とした佇まい） (Text),左ページ植物名・解説: 百合（凛とした佇まい） / すらりと伸びる茎と、大輪の百合,N/A (Plant Description Text Page)
33,Right Page (Odd) - Coloring Illustration,Right,夏の章 (Summer Chapter),塗り絵：百合（凛とした佇まい） (Illustration),右ページ塗り絵イラスト: すらりと伸びる茎と、大輪の百合,"A tall, elegant lily with a long stem and a large bloom. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
34,Left Page (Even) - Chapter Intro,Left,秋の章 (Autumn Chapter),秋の章 (Autumn Chapter) 導入 (Text),秋の深まりを表現する言葉と、章のタイトル,N/A (Chapter Intro Text Page)
35,Right Page (Odd) - Chapter Intro Illustration,Right,秋の章 (Autumn Chapter),秋の章 (Autumn Chapter) 導入 (Illustration),章の導入イラスト,"A tranquil night scene, evocative of moonlight, minimalist and serene composition. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
36,Left Page (Even) - Coloring Description,Left,秋の章 (Autumn Chapter),塗り絵：ススキ（風に揺れる穂） (Text),左ページ植物名・解説: ススキ（風に揺れる穂） / 月の下で風に揺れるススキの群れ,N/A (Plant Description Text Page)
37,Right Page (Odd) - Coloring Illustration,Right,秋の章 (Autumn Chapter),塗り絵：ススキ（風に揺れる穂） (Illustration),右ページ塗り絵イラスト: 月の下で風に揺れるススキの群れ,"An array of Japanese pampas grass (susuki) swaying in the wind under a subtle moonlight. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
38,Left Page (Even) - Coloring Description,Left,秋の章 (Autumn Chapter),塗り絵：菊（重陽の節句） (Text),左ページ植物名・解説: 菊（重陽の節句） / 品格ある一輪の菊,N/A (Plant Description Text Page)
39,Right Page (Odd) - Coloring Illustration,Right,秋の章 (Autumn Chapter),塗り絵：菊（重陽の節句） (Illustration),右ページ塗り絵イラスト: 品格ある一輪の菊,"A single dignified chrysanthemum flower. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
40,Left Page (Even) - Coloring Description,Left,秋の章 (Autumn Chapter),塗り絵：紅葉（楓の一葉） (Text),左ページ植物名・解説: 紅葉（楓の一葉） / 枝から落ちる、または枝に留まる一枚の楓の葉,N/A (Plant Description Text Page)
41,Right Page (Odd) - Coloring Illustration,Right,秋の章 (Autumn Chapter),塗り絵：紅葉（楓の一葉） (Illustration),右ページ塗り絵イラスト: 枝から落ちる、または枝に留まる一枚の楓の葉,"A single maple leaf, either gently falling from a branch or resting on one. ultra fine line art, crisp and clean lines, extensive negative space, 65% or more whitespace, botanically accurate, ukiyo-e style, Japanese painting style, sumi-e style, minimalist art, zen art, for adult coloring book, highly detailed, monochrome, black ink, clean white background."
